映画名,ジャンル,評価,年代,監督名,俳優名
永遠に僕のもの,クライム,4.0,2018,ルイス・オルテガ,"ロレンソ・フェロ, チノ・ダリン"
僕と世界の方程式,ドラマ,4.2,2014,モーガン・マシューズ,"エイサ・バターフィールド, サリー・ホーキンス"
1917命をかけた伝令,戦争,4.3,2019,サム・メンデス,"ジョージ・マッケイ, リチャード・マッデン"
ミッドサマー,ミステリー,3.9,2019,アリ・アスター,"フローレンス・ピュー, ウィル・ポールター"
ペット・セメタリー,ホラー,4.0,2019,ケビン・コルシュ,"ジェイソン・クラーク, エイミー・サイメッツ"
フォードvsフェラーリ,ドラマ,4.2,2019,ジェームズ・マンゴールド,"クリスチャン・ベール, マッド・デイモン"
ビューティー・インサイド,ロマンス,4.5,2015,パク・ジョンヨル,"ハン・ヒョジュ, パク・ソジュン"
ゴーン・ガール,スリラー,4.0,2014,デヴィッド・フィンチャー,"ロザムンド・パイク, ベン・アフレック"
マネー・ショート,ドラマ,4.1,2015,アダム・マッケイ,"スティーブン・セガール, クリスチャン・ベール"
ケープ・フィアー,クライム,4.3,1991,マーティン・スコセッシ,"ジュリエット・ルイス, ロバート・デニーロ"
女神の見えざる手,スリラー,4.0,2016,ジョン・マッデン,"ジェシカ・チャステイン, ググ・バサロー"
シャイニング,ホラー,4.5,1980.スタンリー・キューブリック,"ジャック・ニコルソン, シェリー・デュヴァル"
ドクタースリープ,ホラー,4.3,2019,マイク・フラナガン,"レベッカ・ファーガソン, ユアン・マクレガー"
IT,ホラー,4.3,2017,アンディ・ムスキエティ,"ビル・スカルスガルド, ジェイデン・マーテル"
IT-THE-END,ホラー,4.3,2019,アンディ・ムスキエティ,"ビル・ヘイダー, ジェシカ・チャステイン"


